date,target_group,value,population
7/16/22,Overall,36,6989325
7/23/22,Pediatric,8,1752418
7/23/22,Adult,24,5236907
7/23/22,Overall,32,6989325
7/30/22,Pediatric,11,1752418
7/30/22,Adult,20,5236907
7/30/22,Overall,31,6989325
8/6/22,Pediatric,3,1752418
8/6/22,Adult,18,5236907
8/6/22,Overall,21,6989325
8/13/22,Pediatric,10,1752418
8/13/22,Adult,14,5236907
8/13/22,Overall,24,6989325
8/20/22,Pediatric,7,1752418
8/20/22,Adult,23,5236907
8/20/22,Overall,30,6989325
8/27/22,Pediatric,7,1752418
8/27/22,Adult,26,5236907
8/27/22,Overall,33,6989325
9/3/22,Pediatric,10,1752418
9/3/22,Adult,35,5236907
9/3/22,Overall,45,6989325
9/10/22,Pediatric,12,1752418
9/10/22,Adult,23,5236907
9/10/22,Overall,35,6989325
9/17/22,Pediatric,11,1752418
9/17/22,Adult,26,5236907
9/17/22,Overall,37,6989325
9/24/22,Pediatric,22,1752418
9/24/22,Adult,34,5236907
9/24/22,Overall,56,6989325
10/1/22,Pediatric,26,1752418
10/1/22,Adult,55,5236907
10/1/22,Overall,81,6989325
10/8/22,Pediatric,34,1752418
10/8/22,Adult,65,5236907
10/8/22,Overall,99,6989325
10/15/22,Pediatric,42,1752418
10/15/22,Adult,82,5236907
10/15/22,Overall,124,6989325
10/22/22,Pediatric,72,1752418
10/22/22,Adult,131,5236907
10/22/22,Overall,203,6989325
10/29/22,Pediatric,112,1752418
10/29/22,Adult,168,5236907
10/29/22,Overall,280,6989325
11/5/22,Pediatric,124,1752418
11/5/22,Adult,217,5236907
11/5/22,Overall,341,6989325
11/12/22,Pediatric,148,1752418
11/12/22,Adult,275,5236907
11/12/22,Overall,423,6989325
11/19/22,Pediatric,144,1752418
11/19/22,Adult,282,5236907
11/19/22,Overall,426,6989325
11/26/22,Pediatric,148,1752418
11/26/22,Adult,334,5236907
11/26/22,Overall,482,6989325
12/3/22,Pediatric,140,1752418
12/3/22,Adult,336,5236907
12/3/22,Overall,476,6989325
12/10/22,Pediatric,130,1752418
12/10/22,Adult,325,5236907
12/10/22,Overall,455,6989325
12/17/22,Pediatric,106,1752418
12/17/22,Adult,317,5236907
12/17/22,Overall,423,6989325
12/24/22,Pediatric,67,1752418
12/24/22,Adult,269,5236907
12/24/22,Overall,336,6989325
12/31/22,Pediatric,53,1752418
12/31/22,Adult,278,5236907
12/31/22,Overall,331,6989325
1/7/23,Pediatric,45,1752418
1/7/23,Adult,229,5236907
1/7/23,Overall,274,6989325
1/14/23,Pediatric,16,1752418
1/14/23,Adult,192,5236907
1/14/23,Overall,208,6989325
1/21/23,Pediatric,24,1752418
1/21/23,Adult,141,5236907
1/21/23,Overall,165,6989325
1/28/23,Pediatric,14,1752418
1/28/23,Adult,118,5236907
1/28/23,Overall,132,6989325
2/4/23,Pediatric,21,1752418
2/4/23,Adult,83,5236907
2/4/23,Overall,104,6989325
2/11/23,Pediatric,11,1752418
2/11/23,Adult,86,5236907
2/11/23,Overall,97,6989325
2/18/23,Pediatric,10,1752418
2/18/23,Adult,57,5236907
2/18/23,Overall,67,6989325
2/25/23,Pediatric,11,1752418
2/25/23,Adult,41,5236907
2/25/23,Overall,52,6989325
3/4/23,Pediatric,11,1752418
3/4/23,Adult,34,5236907
3/4/23,Overall,45,6989325
3/11/23,Pediatric,13,1752418
3/11/23,Adult,37,5236907
3/11/23,Overall,50,6989325
3/18/23,Pediatric,17,1752418
3/18/23,Adult,35,5236907
3/18/23,Overall,52,6989325
3/25/23,Pediatric,14,1752418
3/25/23,Adult,24,5236907
3/25/23,Overall,38,6989325
4/1/23,Pediatric,9,1752418
4/1/23,Adult,31,5236907
4/1/23,Overall,40,6989325
4/8/23,Pediatric,15,1752418
4/8/23,Adult,19,5236907
4/8/23,Overall,34,6989325
4/15/23,Pediatric,12,1752418
4/15/23,Adult,30,5236907
4/15/23,Overall,42,6989325
4/22/23,Pediatric,13,1752418
4/22/23,Adult,30,5236907
4/22/23,Overall,43,6989325
4/29/23,Pediatric,9,1752418
4/29/23,Adult,23,5236907
4/29/23,Overall,32,6989325
5/6/23,Pediatric,5,1752418
5/6/23,Adult,26,5236907
5/6/23,Overall,31,6989325
5/13/23,Pediatric,7,1752418
5/13/23,Adult,34,5236907
5/13/23,Overall,41,6989325
5/20/23,Pediatric,6,1752418
5/20/23,Adult,25,5236907
5/20/23,Overall,31,6989325
5/27/23,Pediatric,3,1752418
5/27/23,Adult,21,5236907
5/27/23,Overall,24,6989325
6/3/23,Pediatric,8,1752418
6/3/23,Adult,26,5236907
6/3/23,Overall,34,6989325
6/10/23,Pediatric,11,1752418
6/10/23,Adult,21,5236907
6/10/23,Overall,32,6989325
6/17/23,Pediatric,4,1752418
6/17/23,Adult,23,5236907
6/17/23,Overall,27,6989325
6/24/23,Pediatric,8,1752418
6/24/23,Adult,23,5236907
6/24/23,Overall,31,6989325
7/1/23,Pediatric,5,1752418
7/1/23,Adult,26,5236907
7/1/23,Overall,31,6989325
7/8/23,Pediatric,7,1752418
7/8/23,Adult,23,5236907
7/8/23,Overall,30,6989325
7/15/23,Pediatric,10,1752418
7/15/23,Adult,23,5236907
7/15/23,Overall,33,6989325
7/22/23,Pediatric,8,1752418
7/22/23,Adult,30,5236907
7/22/23,Overall,38,6989325
7/29/23,Pediatric,7,1752418
7/29/23,Adult,19,5236907
7/29/23,Overall,26,6989325
8/5/23,Pediatric,7,1752418
8/5/23,Adult,27,5236907
8/5/23,Overall,34,6989325
8/12/23,Pediatric,7,1752418
8/12/23,Adult,23,5236907
8/12/23,Overall,30,6989325
8/19/23,Pediatric,10,1752418
8/19/23,Adult,19,5236907
8/19/23,Overall,29,6989325
8/26/23,Pediatric,3,1752418
8/26/23,Adult,23,5236907
8/26/23,Overall,26,6989325
9/2/23,Pediatric,8,1752418
9/2/23,Adult,20,5236907
9/2/23,Overall,28,6989325
9/9/23,Pediatric,10,1752418
9/9/23,Adult,26,5236907
9/9/23,Overall,36,6989325
9/16/23,Pediatric,5,1752418
9/16/23,Adult,27,5236907
9/16/23,Overall,32,6989325
9/23/23,Pediatric,8,1752418
9/23/23,Adult,19,5236907
9/23/23,Overall,27,6989325
9/30/23,Pediatric,11,1752418
9/30/23,Adult,29,5236907
9/30/23,Overall,40,6989325
10/7/23,Pediatric,8,1752418
10/7/23,Adult,36,5236907
10/7/23,Overall,44,6989325
10/14/23,Pediatric,15,1752418
10/14/23,Adult,36,5236907
10/14/23,Overall,51,6989325
10/21/23,Pediatric,18,1752418
10/21/23,Adult,56,5236907
10/21/23,Overall,74,6989325
10/28/23,Pediatric,19,1752418
10/28/23,Adult,65,5236907
10/28/23,Overall,84,6989325
11/4/23,Pediatric,30,1752418
11/4/23,Adult,101,5236907
11/4/23,Overall,131,6989325
11/11/23,Pediatric,28,1752418
11/11/23,Adult,111,5236907
11/11/23,Overall,139,6989325
11/18/23,Pediatric,50,1752418
11/18/23,Adult,131,5236907
11/18/23,Overall,181,6989325
11/25/23,Pediatric,82,1752418
11/25/23,Adult,165,5236907
11/25/23,Overall,247,6989325
12/2/23,Pediatric,100,1752418
12/2/23,Adult,193,5236907
12/2/23,Overall,293,6989325
12/9/23,Pediatric,95,1752418
12/9/23,Adult,224,5236907
12/9/23,Overall,319,6989325
12/16/23,Pediatric,93,1752418
12/16/23,Adult,259,5236907
12/16/23,Overall,352,6989325
12/23/23,Pediatric,100,1752418
12/23/23,Adult,279,5236907
12/23/23,Overall,379,6989325
12/30/23,Pediatric,80,1752418
12/30/23,Adult,315,5236907
12/30/23,Overall,395,6989325
1/6/24,Pediatric,96,1752418
1/6/24,Adult,307,5236907
1/6/24,Overall,403,6989325
1/13/24,Pediatric,81,1752418
1/13/24,Adult,273,5236907
1/13/24,Overall,354,6989325
1/20/24,Pediatric,111,1752418
1/20/24,Adult,239,5236907
1/20/24,Overall,350,6989325
1/27/24,Pediatric,60,1752418
1/27/24,Adult,225,5236907
1/27/24,Overall,285,6989325
2/3/24,Pediatric,68,1752418
2/3/24,Adult,221,5236907
2/3/24,Overall,289,6989325
2/10/24,Pediatric,66,1752418
2/10/24,Adult,185,5236907
2/10/24,Overall,251,6989325
2/17/24,Pediatric,39,1752418
2/17/24,Adult,162,5236907
2/17/24,Overall,201,6989325
2/24/24,Pediatric,54,1752418
2/24/24,Adult,155,5236907
2/24/24,Overall,209,6989325
3/2/24,Pediatric,29,1752418
3/2/24,Adult,135,5236907
3/2/24,Overall,164,6989325
3/9/24,Pediatric,48,1752418
3/9/24,Adult,147,5236907
3/9/24,Overall,195,6989325
3/16/24,Pediatric,39,1752418
3/16/24,Adult,116,5236907
3/16/24,Overall,155,6989325
3/23/24,Pediatric,25,1752418
3/23/24,Adult,93,5236907
3/23/24,Overall,118,6989325
3/30/24,Pediatric,27,1752418
3/30/24,Adult,94,5236907
3/30/24,Overall,121,6989325
4/6/24,Pediatric,25,1752418
4/6/24,Adult,72,5236907
4/6/24,Overall,97,6989325
4/13/24,Pediatric,13,1752418
4/13/24,Adult,58,5236907
4/13/24,Overall,71,6989325
4/20/24,Pediatric,10,1752418
4/20/24,Adult,58,5236907
4/20/24,Overall,68,6989325
4/27/24,Pediatric,4,1752418
4/27/24,Adult,42,5236907
4/27/24,Overall,46,6989325
5/4/24,Pediatric,11,1752418
5/4/24,Adult,46,5236907
5/4/24,Overall,57,6989325
5/11/24,Pediatric,9,1752418
5/11/24,Adult,36,5236907
5/11/24,Overall,45,6989325
5/18/24,Pediatric,7,1752418
5/18/24,Adult,23,5236907
5/18/24,Overall,30,6989325
5/25/24,Pediatric,6,1752418
5/25/24,Adult,32,5236907
5/25/24,Overall,38,6989325
6/1/24,Pediatric,10,1752418
6/1/24,Adult,25,5236907
6/1/24,Overall,35,6989325
6/8/24,Pediatric,16,1752418
6/8/24,Adult,22,5236907
6/8/24,Overall,38,6989325
6/15/24,Pediatric,9,1752418
6/15/24,Adult,23,5236907
6/15/24,Overall,32,6989325
6/22/24,Pediatric,6,1752418
6/22/24,Adult,31,5236907
6/22/24,Overall,37,6989325
6/29/24,Pediatric,11,1752418
6/29/24,Adult,14,5236907
6/29/24,Overall,25,6989325
7/6/24,Pediatric,6,1752418
7/6/24,Adult,22,5236907
7/6/24,Overall,28,6989325
7/13/24,Pediatric,9,1752418
7/13/24,Adult,14,5236907
7/13/24,Overall,23,6989325
7/20/24,Pediatric,1,1752418
7/20/24,Adult,12,5236907
7/20/24,Overall,13,6989325
7/27/24,Pediatric,7,1752418
7/27/24,Adult,20,5236907
7/27/24,Overall,27,6989325
8/3/24,Pediatric,8,1752418
8/3/24,Adult,17,5236907
8/3/24,Overall,25,6989325
8/10/24,Pediatric,4,1752418
8/10/24,Adult,12,5236907
8/10/24,Overall,16,6989325
8/17/24,Pediatric,8,1752418
8/17/24,Adult,23,5236907
8/17/24,Overall,31,6989325
8/24/24,Pediatric,10,1752418
8/24/24,Adult,25,5236907
8/24/24,Overall,35,6989325
8/31/24,Pediatric,7,1752418
8/31/24,Adult,29,5236907
8/31/24,Overall,36,6989325
9/7/24,Pediatric,7,1752418
9/7/24,Adult,20,5236907
9/7/24,Overall,27,6989325
9/14/24,Pediatric,6,1752418
9/14/24,Adult,21,5236907
9/14/24,Overall,27,6989325
9/21/24,Pediatric,2,1752418
9/21/24,Adult,25,5236907
9/21/24,Overall,27,6989325
